2026-02-06 00:01:33.327 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-02-06 00:06:22.080 [http-nio-8086-exec-3] INFO  c.c.f.c.InternalFoodController - Admin request: get pending food places
2026-02-06 00:06:22.664 [http-nio-8086-exec-3] INFO  c.cdac.food.service.FoodPlaceService - Found 2 pending food places
2026-02-06 00:06:32.045 [http-nio-8086-exec-4] INFO  c.c.f.c.InternalFoodController - Admin request: get pending food places
2026-02-06 00:06:32.054 [http-nio-8086-exec-4] INFO  c.cdac.food.service.FoodPlaceService - Found 2 pending food places
2026-02-06 00:06:33.807 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-02-06 00:07:17.421 [http-nio-8086-exec-8] INFO  c.c.f.controller.FoodPlaceController - Fetching food places: page=0, size=20, search=null, priceRange=null, categoryId=null
2026-02-06 00:07:17.430 [http-nio-8086-exec-8] INFO  c.cdac.food.service.FoodPlaceService - Searching food places: search=null, priceRange=null, categoryId=null, page=0
2026-02-06 00:07:17.854 [http-nio-8086-exec-8] WARN  o.s.d.w.c.SpringDataJackson3Configuration$PageModule$WarningLoggingModifier - Serializing PageImpl instances as-is is not supported, meaning that there is no guarantee about the stability of the resulting JSON structure!
	For a stable JSON structure, please use Spring Data's PagedModel (globally via @EnableSpringDataWebSupport(pageSerializationMode = VIA_DTO))
	or Spring HATEOAS and Spring Data's PagedResourcesAssembler as documented in https://docs.spring.io/spring-data/commons/reference/repositories/core-extensions.html#core.web.pageables.

2026-02-06 00:07:17.904 [http-nio-8086-exec-7] INFO  c.c.f.controller.FoodPlaceController - Fetching food places: page=0, size=20, search=null, priceRange=null, categoryId=null
2026-02-06 00:07:17.905 [http-nio-8086-exec-7] INFO  c.cdac.food.service.FoodPlaceService - Searching food places: search=null, priceRange=null, categoryId=null, page=0
2026-02-06 00:07:22.714 [http-nio-8086-exec-1] INFO  c.c.f.s.impl.RealAuthServiceClient - Successfully fetched user from Auth Service: userId=2, username=MagicCougar9448
